"TOA5","CH_MILFA_EC_01","CR6","25623","CR6.14.4.0","CPU:FDRI_Easy_Flux.CR6","2202","Time_Series"
"TIMESTAMP","Ux","Uy","Uz","T_SONIC","diag_sonic","CO2_mixratio","H2O_mixratio","diag_irga","TA_1_1_1","T_cell","PA_cell","CO2_sig_strgth","H2O_sig_strgth","PA_diff","PA","pump_flow","sampling_regime"
"TS","m s-1","m s-1","m s-1","deg C","adimensional","umolCO2 mol-1","mmolH2O mol-1","adimensional","deg C","deg C","kPa","fraction","fraction","kPa","kPa","L min-1","adimensional"
"","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-20 14:30:00.05",-0.9546295,2.708918,0.6901023,9.926329,0,448.2096,8.060176,0,9.205536,10.63681,94.73296,0.969608,0.9646943,-5.839012,100.572,8.00411,1
"2026-01-20 14:30:00.1",-0.5860619,2.786195,0.3327855,9.964518,0,448.2222,8.062014,0,9.243469,10.6369,94.73299,0.9696041,0.9647129,-5.838844,100.5718,7.99845,1
"2026-01-20 14:30:00.15",-1.641592,3.264899,-0.01843766,9.914839,0,448.2375,8.064144,0,9.193726,10.6369,94.7337,0.9695965,0.9647077,-5.838989,100.5727,7.99303,1
"2026-01-20 14:30:00.2",-1.974278,3.924122,0.2745431,9.980673,0,448.2527,8.060092,0,9.259796,10.63684,94.7319,0.969584,0.9646898,-5.842003,100.5739,8.004266,1
"2026-01-20 14:30:00.25",-1.899409,3.573764,0.6759156,9.927355,0,448.1077,8.057004,0,9.206848,10.63684,94.73109,0.9696021,0.9646748,-5.842773,100.5739,7.999516,1
"2026-01-20 14:30:00.3",-1.752521,3.667395,1.437285,9.984272,0,448.0663,8.048143,0,9.264404,10.63647,94.73224,0.9695862,0.9646875,-5.839645,100.5719,8.001163,1
"2026-01-20 14:30:00.35",-1.567056,4.422513,-0.2578409,10.03653,0,448.162,8.049938,0,9.316345,10.63647,94.73822,0.9695872,0.9646923,-5.832169,100.5704,7.998063,1
"2026-01-20 14:30:00.4",-0.8317028,4.437142,-0.7244931,9.990914,0,448.226,8.051547,0,9.270691,10.6373,94.74213,0.9696009,0.9647035,-5.829002,100.5711,8.006013,1
"2026-01-20 14:30:00.45",-0.7611561,3.688997,-0.9561089,9.92685,0,448.1152,8.048866,0,9.207062,10.6373,94.73992,0.9695911,0.9647057,-5.831139,100.5711,7.999225,1
"2026-01-20 14:30:00.5",-0.4957944,3.389567,-1.183416,9.93682,0,448.0447,8.045357,0,9.217316,10.63754,94.73934,0.9695998,0.9647109,-5.832657,100.572,7.994287,1
"2026-01-20 14:30:00.55",-0.9032401,3.436966,-0.827998,9.92236,0,448.0245,8.056849,0,9.201874,10.63754,94.74156,0.969611,0.9647518,-5.830711,100.5723,8.005431,1
"2026-01-20 14:30:00.6",-1.248697,3.71272,-0.4065554,9.913023,0,448.1144,8.044722,0,9.193665,10.63684,94.74077,0.9696431,0.9647238,-5.831474,100.5722,8.002714,1
"2026-01-20 14:30:00.65",-1.372949,3.707585,-0.6090785,9.932924,0,447.9514,8.038987,0,9.21402,10.63684,94.742,0.969624,0.9647176,-5.831345,100.5733,7.99546,1
"2026-01-20 14:30:00.7",-1.302814,3.637685,-0.7099461,9.909785,0,447.8191,8.026909,0,9.192017,10.63693,94.7451,0.9695843,0.9646959,-5.827629,100.5727,8.00168,1
"2026-01-20 14:30:00.75",-1.354229,3.476482,-0.5817237,9.817975,0,447.7625,8.028068,0,9.100311,10.63693,94.74595,0.969616,0.9646993,-5.824783,100.5707,8.00168,1
"2026-01-20 14:30:00.8",-0.6896647,3.339108,-0.7611418,9.946273,0,447.9012,8.025071,0,9.228546,10.63654,94.74799,0.9696144,0.9647147,-5.822258,100.5702,7.99632,1
"2026-01-20 14:30:00.85",-0.6439106,2.695561,-0.3088284,9.930134,0,447.8674,8.016237,0,9.213257,10.63654,94.74669,0.9695925,0.9647114,-5.824066,100.5708,8.000195,1
"2026-01-20 14:30:00.9",-0.8263467,3.061119,-0.750965,9.92967,0,447.7026,8.014658,0,9.212952,10.63663,94.74408,0.969611,0.9647136,-5.825661,100.5697,8.006789,1
"2026-01-20 14:30:00.95",-0.8809001,3.237927,-0.9135778,9.906393,0,447.8546,8.007192,0,9.190399,10.63663,94.74296,0.9695919,0.9646819,-5.826881,100.5698,7.995352,1
"2026-01-20 14:30:01",-0.9276695,3.02071,-0.7625366,9.917431,0,447.6888,8.013199,0,9.200836,10.63684,94.74152,0.9695871,0.9647128,-5.828484,100.57,7.99845,1
"2026-01-20 14:30:01.05",-1.042674,2.938365,-0.7108218,9.905089,0,447.8096,8.006217,0,9.189148,10.63684,94.74032,0.969595,0.9647061,-5.83065,100.571,8.001745,1
"2026-01-20 14:30:01.1",-1.075297,2.89358,-0.4225735,9.908196,0,447.8241,8.001484,0,9.192657,10.63632,94.74066,0.9696124,0.9646955,-5.831917,100.5726,7.99361,1
"2026-01-20 14:30:01.15",-1.19426,2.79009,-0.8151473,9.942386,0,447.8796,7.997101,0,9.227142,10.63632,94.74115,0.9696183,0.9646907,-5.831512,100.5727,8.006207,1
"2026-01-20 14:30:01.2",-1.166807,2.685471,-0.7480893,9.914139,0,447.8607,7.997463,0,9.198975,10.63675,94.73786,0.9696013,0.9646975,-5.833786,100.5716,8.005236,1
"2026-01-20 14:30:01.25",-1.511877,2.331665,-0.6818152,9.915734,0,448.1192,7.994709,0,9.200775,10.63675,94.73775,0.9696398,0.9647118,-5.833893,100.5716,7.994771,1
"2026-01-20 14:30:01.3",-1.568338,2.481922,-0.8384304,9.990897,0,447.8234,7.993193,0,9.27594,10.63693,94.73973,0.9695901,0.9646949,-5.831848,100.5716,7.992836,1
"2026-01-20 14:30:01.35",-1.999119,2.395361,-1.14488,9.945777,0,447.8545,7.992743,0,9.230927,10.63693,94.74017,0.9695836,0.9646721,-5.830421,100.5706,8.01009,1
"2026-01-20 14:30:01.4",-1.881706,2.251779,-0.9148715,9.912876,0,447.7613,7.991824,0,9.198181,10.63675,94.74268,0.9695742,0.9647047,-5.828323,100.571,7.998935,1
"2026-01-20 14:30:01.45",-1.590269,2.022656,-1.116894,9.879389,0,447.885,7.996628,0,9.164337,10.63675,94.74303,0.9696078,0.9647179,-5.828384,100.5714,7.997211,1
"2026-01-20 14:30:01.5",-2.148829,2.252453,-0.7954853,9.879993,0,448.0131,7.990611,0,9.165558,10.63684,94.74054,0.9695989,0.9647202,-5.831787,100.5723,8.006692,1
"2026-01-20 14:30:01.55",-2.508953,2.297526,-0.5445737,9.964105,0,448.1793,7.997276,0,9.24881,10.63684,94.74088,0.9696317,0.9647284,-5.831306,100.5722,7.999303,1
