"TOA5","CH_MILFA_EC_01","CR6","25623","CR6.14.4.0","CPU:FDRI_Easy_Flux.CR6","2202","Time_Series"
"TIMESTAMP","Ux","Uy","Uz","T_SONIC","diag_sonic","CO2_mixratio","H2O_mixratio","diag_irga","TA_1_1_1","T_cell","PA_cell","CO2_sig_strgth","H2O_sig_strgth","PA_diff","PA","pump_flow","sampling_regime"
"TS","m s-1","m s-1","m s-1","deg C","adimensional","umolCO2 mol-1","mmolH2O mol-1","adimensional","deg C","deg C","kPa","fraction","fraction","kPa","kPa","L min-1","adimensional"
"","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2026-01-20 15:00:01.5",-2.881652,1.660202,-0.4065698,9.770286,0,448.2602,8.121431,0,9.044495,10.18262,94.69927,0.9696508,0.9647638,-5.823822,100.5231,8.001292,1
"2026-01-20 15:00:01.55",-2.712115,1.404786,-0.3975166,9.769824,0,448.0473,8.124899,0,9.043732,10.18234,94.69765,0.9696052,0.9647436,-5.825905,100.5236,8.000195,1
"2026-01-20 15:00:01.6",-2.783086,1.533786,-0.3135375,9.769986,0,447.9311,8.112219,0,9.044952,10.18234,94.69688,0.9696053,0.9647495,-5.826324,100.5232,8.003879,1
"2026-01-20 15:00:01.65",-2.606338,1.385769,-0.3881172,9.73967,0,448.0304,8.110342,0,9.014893,10.18222,94.69846,0.9696537,0.9647602,-5.82505,100.5235,7.998838,1
"2026-01-20 15:00:01.7",-2.549366,1.274155,-0.3440087,9.755961,0,448.1089,8.111801,0,9.031006,10.18222,94.69981,0.9696349,0.9647459,-5.824829,100.5246,7.997598,1
"2026-01-20 15:00:01.75",-2.207007,1.202532,-0.6352924,9.77704,0,448.1338,8.114711,0,9.051788,10.18213,94.70058,0.9696684,0.9647761,-5.823677,100.5243,7.998644,1
"2026-01-20 15:00:01.8",-2.17354,1.28978,-0.5358795,9.757936,0,448.0411,8.105483,0,9.033539,10.18213,94.69884,0.9696283,0.9647655,-5.824799,100.5236,7.999846,1
"2026-01-20 15:00:01.85",-2.04615,1.285509,-0.5358132,9.771339,0,448.1491,8.107155,0,9.046722,10.18225,94.69609,0.9696543,0.9647747,-5.828064,100.5242,8.00318,1
"2026-01-20 15:00:01.9",-2.070642,1.454094,-0.5006396,9.765645,0,448.2258,8.10272,0,9.041504,10.18225,94.69675,0.9696467,0.9647442,-5.827789,100.5245,7.996126,1
"2026-01-20 15:00:01.95",-1.88331,1.602477,-0.462754,9.749136,0,448.2241,8.103898,0,9.024933,10.18231,94.69889,0.9696448,0.9647562,-5.824699,100.5236,7.994965,1
"2026-01-20 15:00:02",-1.938333,1.640685,-0.3476137,9.766597,0,448.1562,8.10414,0,9.042328,10.18231,94.69949,0.9696314,0.9647449,-5.823303,100.5228,8.002637,1
"2026-01-20 15:00:02.05",-1.90091,1.411696,-0.4066959,9.758894,0,448.2551,8.099237,0,9.035065,10.18298,94.69955,0.9696414,0.9647478,-5.823563,100.5231,7.999806,1
"2026-01-20 15:00:02.1",-1.849833,1.489496,-0.1637789,9.777637,0,448.4014,8.100004,0,9.05368,10.18298,94.69875,0.9696518,0.9647274,-5.823624,100.5224,7.99876,1
"2026-01-20 15:00:02.15",-2.218168,1.554391,-0.2088371,9.7959,0,448.2137,8.104608,0,9.071503,10.18198,94.69907,0.9696466,0.9647411,-5.82309,100.5222,7.99783,1
"2026-01-20 15:00:02.2",-2.162315,1.496483,-0.6124631,9.80207,0,448.1447,8.109954,0,9.077179,10.18198,94.70116,0.9696302,0.9647537,-5.820961,100.5221,7.997288,1
"2026-01-20 15:00:02.25",-2.062844,1.671548,-0.5427374,9.769832,0,448.3114,8.107778,0,9.045227,10.18222,94.70232,0.9696249,0.9647436,-5.819519,100.5218,7.995739,1
"2026-01-20 15:00:02.3",-2.029196,1.666243,-0.4598227,9.778694,0,448.3179,8.107311,0,9.054108,10.18222,94.70102,0.9696427,0.9647444,-5.821259,100.5223,7.997753,1
"2026-01-20 15:00:02.35",-2.108046,1.525024,-0.4664927,9.782492,0,448.117,8.110926,0,9.057587,10.18182,94.69892,0.9696239,0.964768,-5.822746,100.5217,7.999322,1
"2026-01-20 15:00:02.4",-1.870697,1.486261,-0.5818683,9.741316,0,448.3354,8.116831,0,9.01593,10.18182,94.69702,0.9696265,0.9647573,-5.824585,100.5216,7.995972,1
"2026-01-20 15:00:02.45",-1.976244,1.338058,-0.5295957,9.769074,0,448.2905,8.119615,0,9.043427,10.18036,94.69774,0.969609,0.9647534,-5.824852,100.5226,8.007449,1
"2026-01-20 15:00:02.5",-2.037938,1.337674,-0.3772157,9.793915,0,448.2397,8.111749,0,9.068909,10.18036,94.70247,0.9696345,0.9647468,-5.819656,100.5221,8.003587,1
